gender,applications,default_rate,mean_pd,approval_rate_at_policy,approval_rate_ratio_vs_max
F,30454,0.07115649832534314,0.0737001139010898,0.8497077559598082,1.0
M,15673,0.09934281886046066,0.09408816077369926,0.7690295412492822,0.905051808525163
