model,roc_auc,pr_auc,ks,brier_score,ece_10bin
logistic_baseline,0.7603981557148707,0.24555625264915365,0.38982798878329566,0.1994949375409128,0.3366077991456507
lightgbm_raw,0.7830038789738673,0.2745357491433999,0.4221026745746589,0.0662117654480035,0.0030895859985096102
lightgbm_isotonic,0.7826419991411244,0.26389810751303444,0.4208736928180279,0.06628824394215957,0.0024071180396702035
