target_approval_rate,pd_threshold,approved_applications,realized_approval_rate,approved_realized_default_rate,declined_realized_default_rate,modeled_expected_loss_lgd45,modeled_declined_credit_opportunity
0.5,0.04903417533432392,24422,0.5294512975047152,0.025755466382769633,0.14259387237963603,183879624.2912073,12234400101.0
0.55,0.05379746835443038,25427,0.5512389706679385,0.027097180162819052,0.1466183574879227,197954090.64465877,11633956290.0
0.6000000000000001,0.07314148681055155,30424,0.6595703167342337,0.033723376281882725,0.17181430299942685,293254996.92297274,8614233801.0
0.6500000000000001,0.07314148681055155,30424,0.6595703167342337,0.033723376281882725,0.17181430299942685,293254996.92297274,8614233801.0
0.7000000000000002,0.08254963427377221,32847,0.7120992043705422,0.037141900325752736,0.18855421686746987,344985323.7914653,7198377907.5
0.7500000000000002,0.10037700282752121,34951,0.7577124027142454,0.04054247374896283,0.20642448103078023,399480549.82632196,5991656332.5
0.8000000000000003,0.13547376664056385,37930,0.8222949682398595,0.046585815976799366,0.23874588263999025,494554513.22247034,4315968063.0
0.8500000000000003,0.14871794871794872,39394,0.8540334294447938,0.05061684520485353,0.25694341304024954,544183053.528207,3519647235.0
0.9000000000000004,0.19318181818181818,41989,0.9102911526871463,0.05822953630712806,0.3090865152247462,651922995.0225085,2124616837.5
0.9500000000000004,0.2353932584269663,44081,0.9556441997094977,0.0666727161362038,0.3836754643206256,766386248.7179532,1032380914.5
